,title,author,rating,pages,publisher,ISBN,genre,series,author_followers,publish_date
317,How to Murder Your Life,Cat Marnell,3.8,384,Simon  Schuster(first published January 1st 2017),1476752273,Autobiography,0,305,2017-01-31
318,How Dare the Sun Rise: Memoirs of a War Child,Sandra Uwiringiyimana,4.27,304,Katherine Tegen Books,0062470140,Nonfiction,0,73,2017-05-16
319,The Fact of a Body: A Murder and a Memoir,Alexandria Marzano-Lesnevich,3.83,326,Flatiron Books,1250080541,Nonfiction,0,467,2017-05-16
320,At Home in the World: Reflections on Belonging While Wandering the Globe,Tsh Oxenreider,4.05,288,Thomas Nelson(first published April 2017),140020559X,Nonfiction,0,804,2017-04-18
321,The Rules Do Not Apply,Ariel Levy,3.74,207,Random House,0812996933,Autobiography,0,565,2017-03-14
322,The Bright Hour: A Memoir of Living and Dying,Nina Riggs,4.32,288,Simon and Schuster,1501169351,Autobiography,0,43,2017-06-06
323,When We Rise: My Life in the Movement,Cleve Jones,4.32,291,Hachette Books,0316315435,Nonfiction,0,35,2016-11-29
324,"Insomniac City: New York, Oliver, and Me",Bill Hayes,4.43,294,Bloomsbury USA,1620404931,Nonfiction,0,277,2017-02-14
325,The Polygamist's Daughter,Anna LeBaron,3.69,320,Tyndale House Publishers,1496417550,Nonfiction,0,377,2017-03-21
326,Happiness: The Crooked Little Road to Semi-Ever After,Heather Harpham,4.15,320,Henry Holt & Company,1250131561,Autobiography,0,163,2017-08-01
327,Voice Lessons: A Sisters Story,Cara Mentzel,4.19,259,St. Martin's Press,1250105242,Nonfiction,0,68,2017-10-10
328,I Was Told to Come Alone: My Journey Behind the Lines of Jihad,Souad Mekhennet,4.44,368,Henry Holt & Company,1627798978,Nonfiction,0,138,2017-06-13
329,Priestdaddy,Patricia Lockwood,3.85,336,Riverhead Books,1594633738,Autobiography,0,507,2017-05-02
330,The Radium Girls: The Dark Story of America's Shining Women,Kate  Moore,4.16,479,Sourcebooks(first published April 18th 2017),149264935X,Nonfiction,0,452,2017-05-02
331,The Radium Girls: The Dark Story of America's Shining Women,Kate  Moore,4.16,479,Sourcebooks(first published April 18th 2017),149264935X,Nonfiction,0,452,2017-05-02
332,The Radium Girls: The Dark Story of America's Shining Women,Kate  Moore,4.16,479,Sourcebooks(first published April 18th 2017),149264935X,Nonfiction,0,452,2017-05-02
333,Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,David Grann,4.09,338,Doubleday,0385534248,Nonfiction,0,1489,2017-04-18
334,Victoria The Queen: An Intimate Biography of the Woman Who Ruled an Empire,Julia Baird,4.21,696,Random House,1400069882,History,0,115,2016-11-22
335,Jane Austen at Home,Lucy Worsley,4.26,387,St. Martin's Press(first published May 18th 2017),125013160X,Nonfiction,0,1378,2017-07-11
336,Apollo 8: The Thrilling Story of the First Mission to the Moon,Jeffrey Kluger,4.41,320,Henry Holt and Co.,1627798323,History,0,97,2017-05-16
337,Grant,Ron Chernow,4.54,1074,Penguin Press,159420487X,History,0,3160,2017-10-10
338,"A Hope More Powerful Than the Sea: One Refugee's Incredible Story of Love, Loss, and Survival",Melissa Fleming,4.32,276,Flatiron Books,1250105994,Nonfiction,0,114,2017-01-24
339,The Undoing Project: A Friendship That Changed Our Minds,Michael   Lewis,3.99,368,W. W. Norton & Company,0393254593,Nonfiction,0,7869,2016-12-06
340,On Tyranny: Twenty Lessons from the Twentieth Century,Timothy Snyder,4.21,126,Tim Duggan Books(first published 2016),0804190119,Nonfiction,0,1594,2017-03-28
341,The Blood of Emmett Till,Timothy B. Tyson,4.25,291,Simon & Schuster,1476714843,History,0,134,2017-01-31
342,The Road to Jonestown: Jim Jones and Peoples Temple,Jeff Guinn,4.15,531,Simon  Schuster,1476763828,Nonfiction,0,366,2017-04-11
343,Leonardo da Vinci,Walter Isaacson,4.17,600,Simon & Schuster,1501139150,Biography,0,8885,2017-10-17
344,Get Well Soon: History's Worst Plagues and the Heroes Who Fought Them,Jennifer   Wright,4.24,336,Henry Holt and Co.,1627797467,Nonfiction,0,636,2017-02-07
345,Churchill's Ministry of Ungentlemanly Warfare: The Mavericks Who Plotted Hitler's Defeat,Giles Milton,4.33,368,Picador,1250119022,History,0,289,2017-02-07
346,The Gatekeepers: How the White House Chiefs of Staff Define Every Presidency,Chris Whipple,4.28,384,Crown Publishing Group,0804138249,History,0,39,2017-04-04
347,All the Gallant Men: An American Sailor's Firsthand Account of Pearl Harbor,Donald Stratton,4.45,320,William Morrow,0062645358,Nonfiction,0,13,2016-11-22
348,Huế 1968: A Turning Point of the American War in Vietnam,Mark Bowden,4.4,608,Atlantic Monthly Press,0802127002,History,0,900,2017-06-06
349,The Storm Before the Storm: The Beginning of the End of the Roman Republic,Mike Duncan,4.22,327,PublicAffairs,1610397215,History,0,484,2017-10-24
350,Killing England: The Brutal Struggle for American Independence,Bill O'Reilly,4.24,340,Henry Holt and Co.,1627790640,History,1,1896,2017-09-19
351,"Last Hope Island: Britain, Occupied Europe, and the Brotherhood That Helped Turn the Tide of War",Lynne Olson,4.3,576,Random House,0812997352,History,0,363,2017-04-25
352,Astrophysics for People in a Hurry,Neil deGrasse Tyson,4.1,224,W. W. Norton  Company,0393609391,Nonfiction,0,255748,2017-05-02
353,Astrophysics for People in a Hurry,Neil deGrasse Tyson,4.1,224,W. W. Norton  Company,0393609391,Nonfiction,0,255748,2017-05-02
354,Astrophysics for People in a Hurry,Neil deGrasse Tyson,4.1,224,W. W. Norton  Company,0393609391,Nonfiction,0,255748,2017-05-02
355,Inferior: How Science Got Women Wrong—and the New Research That's Rewriting the Story,Angela Saini,4.06,200,Beacon Press(first published 2016),0807071706,Nonfiction,0,246,2017-05-30
356,"Everybody Lies: Big Data, New Data, and What the Internet Can Tell Us About Who We Really Are",Seth Stephens-Davidowitz,3.92,338,Dey Street Books,0062390856,Nonfiction,1,456,2017-05-09
357,We Have No Idea: A Guide to the Unknown Universe,Jorge Cham,4.26,368,Riverhead Books,0735211515,Science,0,128,2017-05-09
358,The Death and Life of the Great Lakes,Dan Egan,4.33,364,W. W. Norton  Company,0393246434,Nonfiction,0,84,2017-03-07
359,"Other Minds: The Octopus, the Sea, and the Deep Origins of Consciousness",Peter Godfrey-Smith,3.86,257,"Farrar, Straus and Giroux",0374227764,Science,0,224,2016-12-06
360,The Case Against Sugar,Gary Taubes,3.83,384,Knopf Publishing Group,0307701646,Nonfiction,0,430,2016-12-27
361,Cannibalism: A Perfectly Natural History,Bill Schutt,3.86,332,Algonquin Books,1616204621,comment,0,197,2017-02-14
362,"The Nature Fix: Why Nature Makes Us Happier, Healthier, and More Creative",Florence   Williams,3.97,304,W. W. Norton  Company,0393242714,Add,0,105,2017-02-07
363,Hit Makers: The Science of Popularity in an Age of Distraction,Derek   Thompson,3.95,352,Penguin Press,110198032X,Nonfiction,0,77,2017-02-07
364,Behave: The Biology of Humans at Our Best and Worst,Robert M. Sapolsky,4.41,790,Penguin Press,1594205078,Science,0,1686,2017-05-02
365,Barking Up the Wrong Tree: The Surprising Science Behind Why Everything You Know About Success Is (Mostly) Wrong,Eric Barker,4.2,320,HarperOne,0062416049,Nonfiction,0,310,2017-05-16
366,Irresistible: The Rise of Addictive Technology and the Business of Keeping Us Hooked,Adam Alter,3.85,368,Penguin Press(first published 2017),1594206643,Add,0,137,2017-03-07
367,Pandora's Lab: Seven Stories of Science Gone Wrong,Paul A. Offit,4.18,288,National Geographic Society,1426217986,Science,0,189,2017-04-04
368,The Greatest Story Ever Told—So Far: Why Are We Here?,Lawrence M. Krauss,3.8,322,Atria Books,1476777616,Science,0,1298,2017-03-21
369,A Crack in Creation: Gene Editing and the Unthinkable Power to Control Evolution,Jennifer A. Doudna,4.1,304,Houghton Mifflin Harcourt,0544716949,Science,0,67,2017-06-13
370,Whiplash: How to Survive Our Faster Future,Joichi Ito,3.88,320,Grand Central Publishing,1455544590,Nonfiction,0,207,2016-12-06
